run,timestep,color,group,dest,counter,measure,value
staci,45449,g,10,R03,spf,avg,7.68558565624725
staci,45449,b,06,G10,flits,min,1551169.0
staci,45449,b,06,G10,flits,max,2336518.0
staci,45449,b,06,G10,flits,avg,1939217.6666666667
staci,45449,b,06,G10,stalls,min,43182.0
staci,45449,b,06,G10,stalls,max,303474.0
staci,45449,b,06,G10,stalls,avg,175612.66666666666
staci,45449,b,06,G10,spf,min,0.01848134703006782
staci,45449,b,06,G10,spf,max,0.15724318459496178
staci,45449,b,06,G10,spf,avg,0.09729445899539112
staci,45449,b,10,G03,flits,min,708975.0
staci,45449,b,10,G03,flits,max,1038873.0
staci,45449,b,10,G03,flits,avg,897134.25
staci,45449,b,10,G03,stalls,min,11517506.0
staci,45449,b,10,G03,stalls,max,20306181.0
staci,45449,b,10,G03,stalls,avg,15836852.0
staci,45449,b,10,G03,spf,min,11.200280456626954
staci,45449,b,10,G03,spf,max,28.641603723685602
staci,45449,b,10,G03,spf,avg,18.58201353700917
staci,45449,b,10,G04,flits,min,293022.0
staci,45449,b,10,G04,flits,max,907701.0
staci,45449,b,10,G04,flits,avg,616343.9166666666
staci,45449,b,10,G04,stalls,min,4555556.0
staci,45449,b,10,G04,stalls,max,10492058.0
staci,45449,b,10,G04,stalls,avg,7676070.583333333
staci,45449,b,10,G04,spf,min,7.076762674710419
staci,45449,b,10,G04,spf,max,28.752179017275154
staci,45449,b,10,G04,spf,avg,13.569295634708174
staci,45449,k,15,C05,flits,min,372250.0
staci,45449,k,15,C05,flits,max,1576328.0
staci,45449,k,15,C05,flits,avg,844716.6333333333
staci,45449,k,15,C05,stalls,min,423678.0
staci,45449,k,15,C05,stalls,max,7088860.0
staci,45449,k,15,C05,stalls,avg,3424182.8666666667
staci,45449,k,15,C05,spf,min,0.3412417973924209
staci,45449,k,15,C05,spf,max,14.642791134989926
staci,45449,k,15,C05,spf,avg,4.673153579428113
staci,45449,g,10,R01,flits,min,285911.0
staci,45449,g,10,R01,flits,max,2114321.0
staci,45449,g,10,R01,flits,avg,884277.5555555555
staci,45449,g,10,R01,stalls,min,200253.0
staci,45449,g,10,R01,stalls,max,42869053.0
staci,45449,g,10,R01,stalls,avg,16154230.777777778
staci,45449,g,10,R01,spf,min,0.1964412539091469
staci,45449,g,10,R01,spf,max,120.98944776521365
staci,45449,g,10,R01,spf,avg,23.031756961499376
staci,45449,k,01,C04,flits,min,243204.0
staci,45449,k,01,C04,flits,max,913501.0
staci,45449,k,01,C04,flits,avg,568511.4
staci,45449,k,01,C04,stalls,min,42789807.0
staci,45449,k,01,C04,stalls,max,60323334.0
staci,45449,k,01,C04,stalls,avg,53478167.86666667
staci,45449,k,01,C04,spf,min,55.065598592751584
staci,45449,k,01,C04,spf,max,248.03594513248137
staci,45449,k,01,C04,spf,avg,118.57512171715393
staci,45449,k,01,C14,flits,min,340727.0
staci,45449,k,01,C14,flits,max,1450580.0
staci,45449,k,01,C14,flits,avg,910519.1333333333
staci,45449,k,01,C14,stalls,min,8001177.0
staci,45449,k,01,C14,stalls,max,21437717.0
staci,45449,k,01,C14,stalls,avg,13092589.4
staci,45449,k,01,C14,spf,min,7.179003570985399
staci,45449,k,01,C14,spf,max,27.82355767932831
staci,45449,k,01,C14,spf,avg,16.066984842274014
staci,45449,b,10,G01,flits,min,509026.0
staci,45449,b,10,G01,flits,max,1688882.0
staci,45449,b,10,G01,flits,avg,1107305.4166666667
staci,45449,b,10,G01,stalls,min,2324336.0
staci,45449,b,10,G01,stalls,max,17377886.0
staci,45449,b,10,G01,stalls,avg,8148136.5
staci,45449,b,10,G01,spf,min,2.3752677033069074
staci,45449,b,10,G01,spf,max,19.133326494097297
staci,45449,b,10,G01,spf,avg,7.255712742476895
staci,45449,b,05,G13,flits,min,698528.0
staci,45449,b,05,G13,flits,max,998943.0
staci,45449,b,05,G13,flits,avg,848735.5
staci,45449,b,05,G13,stalls,min,744010.0
staci,45449,b,05,G13,stalls,max,758818.0
staci,45449,b,05,G13,stalls,avg,751414.0
staci,45449,b,05,G13,spf,min,0.7596209193117125
staci,45449,b,05,G13,spf,max,1.0651112052773832
staci,45449,b,05,G13,spf,avg,0.9123660622945479
staci,45449,k,15,C07,flits,min,321864.0
staci,45449,k,15,C07,flits,max,1601802.0
staci,45449,k,15,C07,flits,avg,698189.0
staci,45449,k,15,C07,stalls,min,300576.0
staci,45449,k,15,C07,stalls,max,1326084.0
staci,45449,k,15,C07,stalls,avg,810578.3666666667
staci,45449,k,15,C07,spf,min,0.2738384644294363
staci,45449,k,15,C07,spf,max,2.897801495071556
staci,45449,k,15,C07,spf,avg,1.3602912397879763
staci,45449,k,01,C06,flits,min,142965.0
staci,45449,k,01,C06,flits,max,804150.0
staci,45449,k,01,C06,flits,avg,483905.3333333333
staci,45449,k,01,C06,stalls,min,42309024.0
staci,45449,k,01,C06,stalls,max,60729238.0
staci,45449,k,01,C06,stalls,avg,54052539.2
staci,45449,k,01,C06,spf,min,61.59411944466903
staci,45449,k,01,C06,spf,max,424.78395411464345
staci,45449,k,01,C06,spf,avg,146.63021944244667
staci,45449,b,05,G08,flits,min,441949.0
staci,45449,b,05,G08,flits,max,760032.0
staci,45449,b,05,G08,flits,avg,539138.25
staci,45449,b,05,G08,stalls,min,410.0
staci,45449,b,05,G08,stalls,max,285293.0
staci,45449,b,05,G08,stalls,avg,130697.0
staci,45449,b,05,G08,spf,min,0.0005394509704854532
staci,45449,b,05,G08,spf,max,0.5884465290497171
staci,45449,b,05,G08,spf,avg,0.2812864746308832
staci,45449,g,01,R04,flits,min,667344.0
staci,45449,g,01,R04,flits,max,4447771.0
staci,45449,g,01,R04,flits,avg,1678849.4666666666
staci,45449,g,01,R04,stalls,min,206974.0
staci,45449,g,01,R04,stalls,max,20391605.0
staci,45449,g,01,R04,stalls,avg,4111460.3333333335
staci,45449,g,01,R04,spf,min,0.1988759694019231
staci,45449,g,01,R04,spf,max,11.455874198671582
staci,45449,g,01,R04,spf,avg,2.259817663056828
staci,45449,b,10,G07,flits,min,842537.0
staci,45449,b,10,G07,flits,max,1932464.0
staci,45449,b,10,G07,flits,avg,1433027.75
staci,45449,b,10,G07,stalls,min,5199526.0
staci,45449,b,10,G07,stalls,max,15025161.0
staci,45449,b,10,G07,stalls,avg,9361643.875
staci,45449,b,10,G07,spf,min,2.864777817335795
staci,45449,b,10,G07,spf,max,11.065653644788222
staci,45449,b,10,G07,spf,avg,6.920489998037124
staci,45449,k,01,C00,flits,min,228973.0
staci,45449,k,01,C00,flits,max,1335467.0
staci,45449,k,01,C00,flits,avg,708309.7333333333
staci,45449,k,01,C00,stalls,min,26346582.0
staci,45449,k,01,C00,stalls,max,62935401.0
staci,45449,k,01,C00,stalls,avg,46580737.4
staci,45449,k,01,C00,spf,min,26.52672885215434
staci,45449,k,01,C00,spf,max,274.859485616208
staci,45449,k,01,C00,spf,avg,92.4210996589525
staci,45449,k,15,C12,flits,min,348987.0
staci,45449,k,15,C12,flits,max,2378789.0
staci,45449,k,15,C12,flits,avg,841996.0666666667
staci,45449,k,15,C12,stalls,min,1231145.0
staci,45449,k,15,C12,stalls,max,4373379.0
staci,45449,k,15,C12,stalls,avg,2704887.8666666667
