g,r,c,n,jobid
7,0,13,3,2134898
7,0,13,2,2134898
7,0,14,1,2134898
7,0,14,0,2134898
7,0,14,3,2134898
7,0,14,2,2134898
7,0,15,1,2134898
7,0,15,0,2134898
11,5,13,2,2016372
11,5,13,3,2016372
5,1,13,3,2156311
5,1,13,2,2156311
13,3,4,1,2134898
13,3,4,0,2134898
13,3,4,3,2134898
13,3,4,2,2134898
13,3,5,1,2134898
13,3,5,0,2134898
13,3,5,3,2134898
13,3,5,2,2134898
13,3,6,1,2134898
13,3,6,0,2134898
7,5,10,1,2134898
7,5,10,0,2134898
7,5,8,1,2134898
7,5,8,0,2134898
7,5,8,3,2134898
7,5,8,2,2134898
7,5,9,1,2134898
7,5,9,0,2134898
7,5,9,3,2134898
7,5,9,2,2134898
2,5,1,2,2016372
2,5,1,3,2016372
2,5,2,0,2016372
2,5,2,1,2016372
2,5,0,2,2016372
2,5,0,3,2016372
2,5,1,0,2016372
2,5,1,1,2016372
4,5,14,0,2134898
2,5,2,2,2016372
2,5,2,3,2016372
4,5,14,3,2134898
3,2,10,2,2151490
3,2,10,3,2151490
3,2,10,0,2151490
3,2,10,1,2151490
3,2,11,2,2151490
3,2,11,3,2151490
4,5,14,2,2134898
3,2,11,1,2151490
3,2,12,0,2151490
3,2,12,1,2151490
4,5,15,1,2134898
4,5,15,0,2134898
10,1,13,2,2016372
10,1,12,1,2016372
10,1,12,0,2016372
10,1,11,3,2016372
10,1,11,2,2016372
10,1,13,1,2016372
10,1,13,0,2016372
10,1,12,3,2016372
10,1,12,2,2016372
4,0,2,2,2134898
10,3,7,3,2156311
10,3,8,2,2199656
10,3,8,3,2199656
10,3,8,0,2156311
10,3,8,1,2156311
10,3,9,0,2199656
10,3,9,1,2199656
15,0,6,0,2156311
15,0,6,1,2156311
15,0,6,2,2156311
15,0,6,3,2156311
15,0,5,0,2156311
15,0,5,1,2156311
15,0,5,2,2156311
15,0,5,3,2156311
15,0,7,0,2156311
15,0,7,1,2156311
9,2,4,3,2151490
9,2,4,2,2151490
9,2,4,1,2151490
9,2,4,0,2151490
9,2,5,3,2151490
9,2,5,2,2151490
9,2,5,1,2151490
9,2,5,0,2151490
9,2,6,1,2151490
9,2,6,0,2151490
11,5,12,1,2016372
11,3,9,1,2151490
11,3,9,0,2151490
11,3,8,3,2151490
11,3,8,2,2151490
11,3,10,1,2151490
11,3,10,0,2151490
11,3,9,3,2151490
11,3,9,2,2151490
11,3,10,3,2151490
11,3,10,2,2151490
2,2,15,3,2134898
2,2,15,2,2134898
2,2,13,3,2134898
2,2,13,2,2134898
2,2,14,1,2134898
2,2,14,0,2134898
2,2,14,3,2134898
2,2,14,2,2134898
2,2,15,1,2134898
2,2,15,0,2134898
4,2,1,1,2134898
4,2,1,0,2134898
4,2,0,3,2134898
4,2,0,2,2134898
