sg,sr,sg,dg,dr,dc,color,value
12,0,0,12,3,0,k,0.507110
13,0,0,13,3,0,k,0.365203
14,0,0,14,3,0,k,0.367399
0,0,0,0,3,0,k,0.477777
1,0,0,1,3,0,k,0.571212
2,0,0,2,3,0,k,0.544667
3,0,0,3,3,0,k,0.493182
4,0,0,4,3,0,k,0.478829
5,0,0,5,3,0,k,0.491396
6,0,0,6,3,0,k,0.395498
7,0,0,7,3,0,k,0.556739
8,0,0,8,3,0,k,0.425742
9,0,0,9,3,0,k,0.362904
10,0,0,10,3,0,k,0.592885
11,0,0,11,3,0,k,0.465537
12,0,0,12,3,0,k,0.514637
13,0,0,13,3,0,k,0.373094
14,0,0,14,3,0,k,0.377273
0,0,0,0,4,0,k,0.472984
1,0,0,1,4,0,k,0.465021
2,0,0,2,4,0,k,0.602441
3,0,0,3,4,0,k,0.555452
4,0,0,4,4,0,k,0.457791
5,0,0,5,4,0,k,0.549858
6,0,0,6,4,0,k,0.417803
7,0,0,7,4,0,k,0.544669
8,0,0,8,4,0,k,0.414772
9,0,0,9,4,0,k,0.318249
10,0,0,10,4,0,k,0.628837
11,0,0,11,4,0,k,0.511916
12,0,0,12,4,0,k,0.393946
13,0,0,13,4,0,k,0.375698
14,0,0,14,4,0,k,0.371297
0,0,0,0,4,0,k,0.477890
1,0,0,1,4,0,k,0.471272
2,0,0,2,4,0,k,0.590695
3,0,0,3,4,0,k,0.549016
4,0,0,4,4,0,k,0.434437
5,0,0,5,4,0,k,0.547459
6,0,0,6,4,0,k,0.445421
7,0,0,7,4,0,k,0.551582
8,0,0,8,4,0,k,0.404218
9,0,0,9,4,0,k,0.318452
10,0,0,10,4,0,k,0.621816
11,0,0,11,4,0,k,0.496501
12,0,0,12,4,0,k,0.398118
13,0,0,13,4,0,k,0.345726
14,0,0,14,4,0,k,0.392894
0,0,0,0,4,0,k,0.463023
1,0,0,1,4,0,k,0.467390
2,0,0,2,4,0,k,0.579660
3,0,0,3,4,0,k,0.543162
4,0,0,4,4,0,k,0.445477
5,0,0,5,4,0,k,0.553393
6,0,0,6,4,0,k,0.431139
7,0,0,7,4,0,k,0.531729
8,0,0,8,4,0,k,0.417868
9,0,0,9,4,0,k,0.309210
10,0,0,10,4,0,k,0.635773
11,0,0,11,4,0,k,0.489616
12,0,0,12,4,0,k,0.400381
13,0,0,13,4,0,k,0.359706
14,0,0,14,4,0,k,0.377728
0,0,0,0,5,0,k,0.477673
1,0,0,1,5,0,k,0.476819
2,0,0,2,5,0,k,0.580096
3,0,0,3,5,0,k,0.481183
4,0,0,4,5,0,k,0.471455
5,0,0,5,5,0,k,0.483100
6,0,0,6,5,0,k,0.451534
7,0,0,7,5,0,k,0.561410
8,0,0,8,5,0,k,0.441569
9,0,0,9,5,0,k,0.439732
10,0,0,10,5,0,k,0.677090
11,0,0,11,5,0,k,0.508638
12,0,0,12,5,0,k,0.521272
13,0,0,13,5,0,k,0.342714
14,0,0,14,5,0,k,0.459738
0,0,0,0,5,0,k,0.469277
1,0,0,1,5,0,k,0.475853
2,0,0,2,5,0,k,0.550608
3,0,0,3,5,0,k,0.477960
4,0,0,4,5,0,k,0.481197
5,0,0,5,5,0,k,0.491393
6,0,0,6,5,0,k,0.447362
7,0,0,7,5,0,k,0.583561
8,0,0,8,5,0,k,0.448408
9,0,0,9,5,0,k,0.413775
10,0,0,10,5,0,k,0.696226
11,0,0,11,5,0,k,0.506824
12,0,0,12,5,0,k,0.521325
13,0,0,13,5,0,k,0.344318
