sg,sr,sg,dg,dr,dc,color,ratio
6,2,0,6,2,8,g,0.001984
7,2,0,7,2,8,g,0.001462
8,2,0,8,2,8,g,0.002133
9,2,0,9,2,8,g,0.002224
10,2,0,10,2,8,g,0.002197
11,2,0,11,2,8,g,0.001902
12,2,0,12,2,8,g,0.002052
13,2,0,13,2,8,g,0.001374
14,2,0,14,2,8,g,0.002527
0,2,0,0,2,9,g,0.693171
1,2,0,1,2,9,g,0.554473
2,2,0,2,2,9,g,0.000382
3,2,0,3,2,9,g,0.001256
4,2,0,4,2,9,g,0.002795
5,2,0,5,2,9,g,0.003085
6,2,0,6,2,9,g,0.002409
7,2,0,7,2,9,g,0.000282
8,2,0,8,2,9,g,0.001235
9,2,0,9,2,9,g,0.000846
10,2,0,10,2,9,g,0.001154
11,2,0,11,2,9,g,0.001654
12,2,0,12,2,9,g,0.001842
13,2,0,13,2,9,g,0.001817
14,2,0,14,2,9,g,0.002366
0,2,0,0,2,10,g,0.693175
1,2,0,1,2,10,g,0.544165
2,2,0,2,2,10,g,0.001837
3,2,0,3,2,10,g,0.001817
4,2,0,4,2,10,g,0.002310
5,2,0,5,2,10,g,0.001250
6,2,0,6,2,10,g,0.003812
7,2,0,7,2,10,g,0.006419
8,2,0,8,2,10,g,0.002430
9,2,0,9,2,10,g,0.001143
10,2,0,10,2,10,g,0.002555
11,2,0,11,2,10,g,0.002898
12,2,0,12,2,10,g,0.001562
13,2,0,13,2,10,g,0.001959
14,2,0,14,2,10,g,0.002775
0,2,0,0,2,11,g,0.693226
1,2,0,1,2,11,g,0.538394
2,2,0,2,2,11,g,0.000512
3,2,0,3,2,11,g,0.001344
4,2,0,4,2,11,g,0.000852
5,2,0,5,2,11,g,0.001191
6,2,0,6,2,11,g,0.001320
7,2,0,7,2,11,g,0.002696
8,2,0,8,2,11,g,0.004143
9,2,0,9,2,11,g,0.001737
10,2,0,10,2,11,g,0.001933
11,2,0,11,2,11,g,0.000977
12,2,0,12,2,11,g,0.002197
13,2,0,13,2,11,g,0.001375
14,2,0,14,2,11,g,0.001627
0,2,0,0,2,12,g,0.697018
1,2,0,1,2,12,g,0.539975
2,2,0,2,2,12,g,0.003146
3,2,0,3,2,12,g,0.003012
4,2,0,4,2,12,g,0.003261
5,2,0,5,2,12,g,0.001071
6,2,0,6,2,12,g,0.001975
7,2,0,7,2,12,g,0.002164
8,2,0,8,2,12,g,0.003086
9,2,0,9,2,12,g,0.000219
10,2,0,10,2,12,g,0.000464
11,2,0,11,2,12,g,0.002391
12,2,0,12,2,12,g,0.001630
13,2,0,13,2,12,g,0.002734
14,2,0,14,2,12,g,0.001149
0,2,0,0,2,13,g,0.587244
1,2,0,1,2,13,g,0.539560
2,2,0,2,2,13,g,0.000842
3,2,0,3,2,13,g,0.001741
4,2,0,4,2,13,g,0.001446
5,2,0,5,2,13,g,0.000960
6,2,0,6,2,13,g,0.004314
7,2,0,7,2,13,g,0.001160
8,2,0,8,2,13,g,0.001056
9,2,0,9,2,13,g,0.000992
10,2,0,10,2,13,g,0.003030
11,2,0,11,2,13,g,0.003415
12,2,0,12,2,13,g,0.002926
13,2,0,13,2,13,g,0.001622
14,2,0,14,2,13,g,0.001595
0,2,0,0,2,14,g,0.661267
1,2,0,1,2,14,g,0.530156
2,2,0,2,2,14,g,0.001714
3,2,0,3,2,14,g,0.002608
4,2,0,4,2,14,g,0.002169
5,2,0,5,2,14,g,0.001538
6,2,0,6,2,14,g,0.001104
7,2,0,7,2,14,g,0.005025
8,2,0,8,2,14,g,0.003128
9,2,0,9,2,14,g,0.001076
10,2,0,10,2,14,g,0.001227
11,2,0,11,2,14,g,0.003093
12,2,0,12,2,14,g,0.001662
13,2,0,13,2,14,g,0.001776
14,2,0,14,2,14,g,0.001745
0,2,0,0,2,15,g,0.706093
1,2,0,1,2,15,g,0.561021
2,2,0,2,2,15,g,0.002619
3,2,0,3,2,15,g,0.002163
4,2,0,4,2,15,g,0.003652
5,2,0,5,2,15,g,0.001442
6,2,0,6,2,15,g,0.001969
7,2,0,7,2,15,g,0.000849
8,2,0,8,2,15,g,0.001065
9,2,0,9,2,15,g,0.001213
10,2,0,10,2,15,g,0.002796
11,2,0,11,2,15,g,0.001490
12,2,0,12,2,15,g,0.001611
13,2,0,13,2,15,g,0.001893
14,2,0,14,2,15,g,0.002085
0,2,0,0,3,0,k,0.537273
1,2,0,1,3,0,k,0.473945
2,2,0,2,3,0,k,0.002749
3,2,0,3,3,0,k,0.001252
4,2,0,4,3,0,k,0.003519
5,2,0,5,3,0,k,0.000589
6,2,0,6,3,0,k,0.001767
7,2,0,7,3,0,k,0.008067
8,2,0,8,3,0,k,0.001737
9,2,0,9,3,0,k,0.001685
10,2,0,10,3,0,k,0.003785
11,2,0,11,3,0,k,0.003373
12,2,0,12,3,0,k,0.002365
13,2,0,13,3,0,k,0.001440
14,2,0,14,3,0,k,0.002379
0,2,0,0,3,0,k,0.521475
1,2,0,1,3,0,k,0.472667
2,2,0,2,3,0,k,0.001784
3,2,0,3,3,0,k,0.002822
4,2,0,4,3,0,k,0.002499
5,2,0,5,3,0,k,0.001647
6,2,0,6,3,0,k,0.001922
7,2,0,7,3,0,k,0.003379
8,2,0,8,3,0,k,0.003476
9,2,0,9,3,0,k,0.000966
10,2,0,10,3,0,k,0.002575
11,2,0,11,3,0,k,0.002750
12,2,0,12,3,0,k,0.002697
13,2,0,13,3,0,k,0.002328
14,2,0,14,3,0,k,0.002277
0,2,0,0,3,0,k,0.554991
1,2,0,1,3,0,k,0.480095
2,2,0,2,3,0,k,0.000376
3,2,0,3,3,0,k,0.003578
4,2,0,4,3,0,k,0.002694
5,2,0,5,3,0,k,0.002912
6,2,0,6,3,0,k,0.002858
7,2,0,7,3,0,k,0.003607
8,2,0,8,3,0,k,0.001516
9,2,0,9,3,0,k,0.001343
10,2,0,10,3,0,k,0.000675
11,2,0,11,3,0,k,0.002727
12,2,0,12,3,0,k,0.004278
13,2,0,13,3,0,k,0.001463
14,2,0,14,3,0,k,0.002081
0,2,0,0,4,0,k,0.461499
1,2,0,1,4,0,k,0.419188
2,2,0,2,4,0,k,0.000901
3,2,0,3,4,0,k,0.002483
4,2,0,4,4,0,k,0.001638
5,2,0,5,4,0,k,0.002743
6,2,0,6,4,0,k,0.002140
7,2,0,7,4,0,k,0.002965
8,2,0,8,4,0,k,0.001496
9,2,0,9,4,0,k,0.002041
10,2,0,10,4,0,k,0.001123
11,2,0,11,4,0,k,0.002698
12,2,0,12,4,0,k,0.002189
13,2,0,13,4,0,k,0.001244
14,2,0,14,4,0,k,0.002029
0,2,0,0,4,0,k,0.470684
1,2,0,1,4,0,k,0.413862
2,2,0,2,4,0,k,0.001785
3,2,0,3,4,0,k,0.002393
4,2,0,4,4,0,k,0.002337
5,2,0,5,4,0,k,0.001716
6,2,0,6,4,0,k,0.001418
7,2,0,7,4,0,k,0.005171
8,2,0,8,4,0,k,0.000916
9,2,0,9,4,0,k,0.001324
10,2,0,10,4,0,k,0.003139
11,2,0,11,4,0,k,0.002599
12,2,0,12,4,0,k,0.002611
13,2,0,13,4,0,k,0.001091
14,2,0,14,4,0,k,0.002122
0,2,0,0,4,0,k,0.480372
1,2,0,1,4,0,k,0.429247
2,2,0,2,4,0,k,0.005913
3,2,0,3,4,0,k,0.002251
4,2,0,4,4,0,k,0.002608
5,2,0,5,4,0,k,0.001578
6,2,0,6,4,0,k,0.002712
7,2,0,7,4,0,k,0.003982
8,2,0,8,4,0,k,0.000895
9,2,0,9,4,0,k,0.001618
10,2,0,10,4,0,k,0.001986
11,2,0,11,4,0,k,0.002486
12,2,0,12,4,0,k,0.002869
13,2,0,13,4,0,k,0.001512
14,2,0,14,4,0,k,0.002929
0,2,0,0,5,0,k,0.521814
1,2,0,1,5,0,k,0.441611
2,2,0,2,5,0,k,0.001038
3,2,0,3,5,0,k,0.003053
4,2,0,4,5,0,k,0.001708
5,2,0,5,5,0,k,0.003017
6,2,0,6,5,0,k,0.001873
7,2,0,7,5,0,k,0.005141
8,2,0,8,5,0,k,0.002086
9,2,0,9,5,0,k,0.001389
10,2,0,10,5,0,k,0.003055
11,2,0,11,5,0,k,0.001848
12,2,0,12,5,0,k,0.002437
13,2,0,13,5,0,k,0.001659
14,2,0,14,5,0,k,0.001583
0,2,0,0,5,0,k,0.512084
1,2,0,1,5,0,k,0.456897
2,2,0,2,5,0,k,0.002811
3,2,0,3,5,0,k,0.002073
4,2,0,4,5,0,k,0.001641
5,2,0,5,5,0,k,0.000870
6,2,0,6,5,0,k,0.001348
7,2,0,7,5,0,k,0.001488
8,2,0,8,5,0,k,0.002743
9,2,0,9,5,0,k,0.000671
10,2,0,10,5,0,k,0.003349
11,2,0,11,5,0,k,0.003401
12,2,0,12,5,0,k,0.001228
13,2,0,13,5,0,k,0.001082
14,2,0,14,5,0,k,0.001073
0,2,0,0,5,0,k,0.518641
1,2,0,1,5,0,k,0.439468
2,2,0,2,5,0,k,0.002667
3,2,0,3,5,0,k,0.001989
4,2,0,4,5,0,k,0.002521
5,2,0,5,5,0,k,0.000859
6,2,0,6,5,0,k,0.003081
7,2,0,7,5,0,k,0.005202
8,2,0,8,5,0,k,0.000889
9,2,0,9,5,0,k,0.001515
10,2,0,10,5,0,k,0.002166
11,2,0,11,5,0,k,0.001585
12,2,0,12,5,0,k,0.001385
13,2,0,13,5,0,k,0.002182
14,2,0,14,5,0,k,0.000684
0,2,1,0,0,1,k,0.496590
1,2,1,1,0,1,k,0.442050
2,2,1,2,0,1,k,0.004060
3,2,1,3,0,1,k,0.002093
4,2,1,4,0,1,k,0.001723
5,2,1,5,0,1,k,0.001935
6,2,1,6,0,1,k,0.002746
7,2,1,7,0,1,k,0.004463
8,2,1,8,0,1,k,0.000945
9,2,1,9,0,1,k,0.001110
10,2,1,10,0,1,k,0.002749
11,2,1,11,0,1,k,0.003644
12,2,1,12,0,1,k,0.003253
13,2,1,13,0,1,k,0.000949
14,2,1,14,0,1,k,0.002604
0,2,1,0,0,1,k,0.512771
1,2,1,1,0,1,k,0.437321
2,2,1,2,0,1,k,0.001785
3,2,1,3,0,1,k,0.003963
4,2,1,4,0,1,k,0.001500
5,2,1,5,0,1,k,0.001739
6,2,1,6,0,1,k,0.002054
7,2,1,7,0,1,k,0.003445
8,2,1,8,0,1,k,0.001471
9,2,1,9,0,1,k,0.001323
10,2,1,10,0,1,k,0.003284
11,2,1,11,0,1,k,0.001652
12,2,1,12,0,1,k,0.000523
13,2,1,13,0,1,k,0.001894
14,2,1,14,0,1,k,0.001926
0,2,1,0,0,1,k,0.510051
1,2,1,1,0,1,k,0.435742
2,2,1,2,0,1,k,0.002582
3,2,1,3,0,1,k,0.001839
4,2,1,4,0,1,k,0.001110
5,2,1,5,0,1,k,0.001243
6,2,1,6,0,1,k,0.001906
7,2,1,7,0,1,k,0.001803
8,2,1,8,0,1,k,0.006627
9,2,1,9,0,1,k,0.003297
10,2,1,10,0,1,k,0.002871
11,2,1,11,0,1,k,0.002578
12,2,1,12,0,1,k,0.002406
13,2,1,13,0,1,k,0.002107
14,2,1,14,0,1,k,0.002593
0,2,1,0,1,1,k,0.566798
1,2,1,1,1,1,k,0.483787
2,2,1,2,1,1,k,0.003262
3,2,1,3,1,1,k,0.003694
4,2,1,4,1,1,k,0.001908
5,2,1,5,1,1,k,0.002329
6,2,1,6,1,1,k,0.003580
7,2,1,7,1,1,k,0.002554
8,2,1,8,1,1,k,0.002183
9,2,1,9,1,1,k,0.003246
10,2,1,10,1,1,k,0.002243
11,2,1,11,1,1,k,0.002649
12,2,1,12,1,1,k,0.001993
13,2,1,13,1,1,k,0.002735
14,2,1,14,1,1,k,0.003380
0,2,1,0,1,1,k,0.591386
1,2,1,1,1,1,k,0.490656
2,2,1,2,1,1,k,0.001337
3,2,1,3,1,1,k,0.002849
4,2,1,4,1,1,k,0.001318
5,2,1,5,1,1,k,0.001447
6,2,1,6,1,1,k,0.002105
7,2,1,7,1,1,k,0.001703
8,2,1,8,1,1,k,0.001942
9,2,1,9,1,1,k,0.002251
10,2,1,10,1,1,k,0.002974
11,2,1,11,1,1,k,0.001960
12,2,1,12,1,1,k,0.001211
13,2,1,13,1,1,k,0.001880
14,2,1,14,1,1,k,0.005129
0,2,1,0,1,1,k,0.583566
1,2,1,1,1,1,k,0.506922
2,2,1,2,1,1,k,0.002561
3,2,1,3,1,1,k,0.003257
4,2,1,4,1,1,k,0.002404
5,2,1,5,1,1,k,0.001322
6,2,1,6,1,1,k,0.001059
7,2,1,7,1,1,k,0.001391
8,2,1,8,1,1,k,0.000512
9,2,1,9,1,1,k,0.000497
10,2,1,10,1,1,k,0.002737
11,2,1,11,1,1,k,0.002433
12,2,1,12,1,1,k,0.003320
13,2,1,13,1,1,k,0.001553
14,2,1,14,1,1,k,0.002620
0,2,1,0,2,0,g,0.713930
1,2,1,1,2,0,g,0.595455
2,2,1,2,2,0,g,0.003862
3,2,1,3,2,0,g,0.003372
4,2,1,4,2,0,g,0.004234
5,2,1,5,2,0,g,0.003217
6,2,1,6,2,0,g,0.003773
7,2,1,7,2,0,g,0.006831
8,2,1,8,2,0,g,0.005323
9,2,1,9,2,0,g,0.002188
10,2,1,10,2,0,g,0.003567
11,2,1,11,2,0,g,0.006256
12,2,1,12,2,0,g,0.004334
13,2,1,13,2,0,g,0.005198
14,2,1,14,2,0,g,0.003706
0,2,1,0,2,2,g,0.720448
1,2,1,1,2,2,g,0.577553
2,2,1,2,2,2,g,0.004459
3,2,1,3,2,2,g,0.005026
4,2,1,4,2,2,g,0.003650
5,2,1,5,2,2,g,0.003195
6,2,1,6,2,2,g,0.003434
7,2,1,7,2,2,g,0.004151
8,2,1,8,2,2,g,0.001496
9,2,1,9,2,2,g,0.004564
10,2,1,10,2,2,g,0.004967
11,2,1,11,2,2,g,0.003662
12,2,1,12,2,2,g,0.005313
13,2,1,13,2,2,g,0.002754
14,2,1,14,2,2,g,0.003123
0,2,1,0,2,3,g,0.662883
1,2,1,1,2,3,g,0.537861
2,2,1,2,2,3,g,0.004454
3,2,1,3,2,3,g,0.006421
4,2,1,4,2,3,g,0.005575
5,2,1,5,2,3,g,0.004652
6,2,1,6,2,3,g,0.004849
7,2,1,7,2,3,g,0.003390
8,2,1,8,2,3,g,0.001523
9,2,1,9,2,3,g,0.001030
10,2,1,10,2,3,g,0.004235
11,2,1,11,2,3,g,0.003768
12,2,1,12,2,3,g,0.004157
13,2,1,13,2,3,g,0.003720
14,2,1,14,2,3,g,0.003460
0,2,1,0,2,4,g,0.558653
1,2,1,1,2,4,g,0.526754
2,2,1,2,2,4,g,0.001913
3,2,1,3,2,4,g,0.003119
4,2,1,4,2,4,g,0.002967
5,2,1,5,2,4,g,0.001864
6,2,1,6,2,4,g,0.000676
7,2,1,7,2,4,g,0.004211
8,2,1,8,2,4,g,0.003956
9,2,1,9,2,4,g,0.001313
10,2,1,10,2,4,g,0.002633
11,2,1,11,2,4,g,0.001525
12,2,1,12,2,4,g,0.001365
13,2,1,13,2,4,g,0.001937
14,2,1,14,2,4,g,0.001344
0,2,1,0,2,5,g,0.705023
1,2,1,1,2,5,g,0.572276
2,2,1,2,2,5,g,0.003832
3,2,1,3,2,5,g,0.003135
4,2,1,4,2,5,g,0.002232
5,2,1,5,2,5,g,0.001561
6,2,1,6,2,5,g,0.001863
7,2,1,7,2,5,g,0.002343
8,2,1,8,2,5,g,0.000765
9,2,1,9,2,5,g,0.000431
10,2,1,10,2,5,g,0.003642
11,2,1,11,2,5,g,0.001422
12,2,1,12,2,5,g,0.002075
13,2,1,13,2,5,g,0.001507
14,2,1,14,2,5,g,0.001856
0,2,1,0,2,6,g,0.699447
1,2,1,1,2,6,g,0.564000
2,2,1,2,2,6,g,0.001867
3,2,1,3,2,6,g,0.004131
4,2,1,4,2,6,g,0.003594
5,2,1,5,2,6,g,0.002179
6,2,1,6,2,6,g,0.000621
7,2,1,7,2,6,g,0.002057
8,2,1,8,2,6,g,0.000762
9,2,1,9,2,6,g,0.001095
10,2,1,10,2,6,g,0.003191
11,2,1,11,2,6,g,0.002204
12,2,1,12,2,6,g,0.002207
13,2,1,13,2,6,g,0.002032
14,2,1,14,2,6,g,0.002063
0,2,1,0,2,7,g,0.697535
1,2,1,1,2,7,g,0.565543
2,2,1,2,2,7,g,0.002446
3,2,1,3,2,7,g,0.002106
4,2,1,4,2,7,g,0.001377
5,2,1,5,2,7,g,0.001327
6,2,1,6,2,7,g,0.001623
7,2,1,7,2,7,g,0.002111
8,2,1,8,2,7,g,0.002684
9,2,1,9,2,7,g,0.001858
10,2,1,10,2,7,g,0.005450
11,2,1,11,2,7,g,0.001118
12,2,1,12,2,7,g,0.001878
13,2,1,13,2,7,g,0.001687
14,2,1,14,2,7,g,0.001752
0,2,1,0,2,8,g,0.693920
1,2,1,1,2,8,g,0.562542
2,2,1,2,2,8,g,0.001313
3,2,1,3,2,8,g,0.001202
4,2,1,4,2,8,g,0.001805
5,2,1,5,2,8,g,0.001205
6,2,1,6,2,8,g,0.001851
7,2,1,7,2,8,g,0.001478
8,2,1,8,2,8,g,0.001681
9,2,1,9,2,8,g,0.001740
10,2,1,10,2,8,g,0.002385
11,2,1,11,2,8,g,0.001960
12,2,1,12,2,8,g,0.000848
13,2,1,13,2,8,g,0.002234
14,2,1,14,2,8,g,0.001486
0,2,1,0,2,9,g,0.700467
1,2,1,1,2,9,g,0.557404
2,2,1,2,2,9,g,0.001357
3,2,1,3,2,9,g,0.002699
4,2,1,4,2,9,g,0.002566
5,2,1,5,2,9,g,0.001808
6,2,1,6,2,9,g,0.002883
7,2,1,7,2,9,g,0.002189
8,2,1,8,2,9,g,0.002406
9,2,1,9,2,9,g,0.000510
10,2,1,10,2,9,g,0.001041
11,2,1,11,2,9,g,0.002620
12,2,1,12,2,9,g,0.002558
13,2,1,13,2,9,g,0.001733
14,2,1,14,2,9,g,0.003245
0,2,1,0,2,10,g,0.699610
1,2,1,1,2,10,g,0.553923
2,2,1,2,2,10,g,0.002585
3,2,1,3,2,10,g,0.002609
4,2,1,4,2,10,g,0.001296
5,2,1,5,2,10,g,0.001821
6,2,1,6,2,10,g,0.001208
7,2,1,7,2,10,g,0.003126
8,2,1,8,2,10,g,0.001274
9,2,1,9,2,10,g,0.000515
10,2,1,10,2,10,g,0.001676
11,2,1,11,2,10,g,0.002771
12,2,1,12,2,10,g,0.003157
13,2,1,13,2,10,g,0.001952
14,2,1,14,2,10,g,0.002704
0,2,1,0,2,11,g,0.698650
1,2,1,1,2,11,g,0.547004
2,2,1,2,2,11,g,0.003028
3,2,1,3,2,11,g,0.001850
4,2,1,4,2,11,g,0.002257
5,2,1,5,2,11,g,0.000641
6,2,1,6,2,11,g,0.002110
7,2,1,7,2,11,g,0.001420
8,2,1,8,2,11,g,0.002448
9,2,1,9,2,11,g,0.003369
10,2,1,10,2,11,g,0.001506
11,2,1,11,2,11,g,0.001828
12,2,1,12,2,11,g,0.001826
13,2,1,13,2,11,g,0.002980
14,2,1,14,2,11,g,0.003163
0,2,1,0,2,12,g,0.697068
1,2,1,1,2,12,g,0.543221
2,2,1,2,2,12,g,0.002627
3,2,1,3,2,12,g,0.001986
4,2,1,4,2,12,g,0.001490
5,2,1,5,2,12,g,0.001579
6,2,1,6,2,12,g,0.003066
7,2,1,7,2,12,g,0.002938
8,2,1,8,2,12,g,0.001562
9,2,1,9,2,12,g,0.000400
10,2,1,10,2,12,g,0.002227
11,2,1,11,2,12,g,0.002263
12,2,1,12,2,12,g,0.002324
13,2,1,13,2,12,g,0.002646
14,2,1,14,2,12,g,0.002582
0,2,1,0,2,13,g,0.703699
1,2,1,1,2,13,g,0.547373
2,2,1,2,2,13,g,0.001019
3,2,1,3,2,13,g,0.002593
4,2,1,4,2,13,g,0.001411
5,2,1,5,2,13,g,0.002300
6,2,1,6,2,13,g,0.001049
7,2,1,7,2,13,g,0.002872
8,2,1,8,2,13,g,0.001823
9,2,1,9,2,13,g,0.002645
10,2,1,10,2,13,g,0.003475
11,2,1,11,2,13,g,0.002099
12,2,1,12,2,13,g,0.001293
13,2,1,13,2,13,g,0.001349
14,2,1,14,2,13,g,0.002548
0,2,1,0,2,14,g,0.574463
1,2,1,1,2,14,g,0.541201
2,2,1,2,2,14,g,0.002671
3,2,1,3,2,14,g,0.003000
4,2,1,4,2,14,g,0.003276
5,2,1,5,2,14,g,0.002400
6,2,1,6,2,14,g,0.002401
7,2,1,7,2,14,g,0.002685
8,2,1,8,2,14,g,0.001291
9,2,1,9,2,14,g,0.000304
10,2,1,10,2,14,g,0.001420
11,2,1,11,2,14,g,0.002195
12,2,1,12,2,14,g,0.001591
13,2,1,13,2,14,g,0.001857
14,2,1,14,2,14,g,0.002753
0,2,1,0,2,15,g,0.670301
1,2,1,1,2,15,g,0.523682
2,2,1,2,2,15,g,0.003442
3,2,1,3,2,15,g,0.001282
4,2,1,4,2,15,g,0.001145
5,2,1,5,2,15,g,0.002064
6,2,1,6,2,15,g,0.002342
7,2,1,7,2,15,g,0.003268
8,2,1,8,2,15,g,0.001032
9,2,1,9,2,15,g,0.000606
10,2,1,10,2,15,g,0.003764
11,2,1,11,2,15,g,0.002883
12,2,1,12,2,15,g,0.002964
13,2,1,13,2,15,g,0.002423
14,2,1,14,2,15,g,0.003578
0,2,1,0,3,1,k,0.486203
1,2,1,1,3,1,k,0.453205
2,2,1,2,3,1,k,0.001371
3,2,1,3,3,1,k,0.002437
4,2,1,4,3,1,k,0.002149
5,2,1,5,3,1,k,0.001641
6,2,1,6,3,1,k,0.001696
7,2,1,7,3,1,k,0.003645
8,2,1,8,3,1,k,0.002629
9,2,1,9,3,1,k,0.000431
10,2,1,10,3,1,k,0.001843
11,2,1,11,3,1,k,0.002847
12,2,1,12,3,1,k,0.001597
13,2,1,13,3,1,k,0.002368
14,2,1,14,3,1,k,0.002608
0,2,1,0,3,1,k,0.510126
1,2,1,1,3,1,k,0.430792
2,2,1,2,3,1,k,0.002490
3,2,1,3,3,1,k,0.001667
4,2,1,4,3,1,k,0.002513
5,2,1,5,3,1,k,0.001742
6,2,1,6,3,1,k,0.003409
7,2,1,7,3,1,k,0.003045
8,2,1,8,3,1,k,0.003492
9,2,1,9,3,1,k,0.005358
10,2,1,10,3,1,k,0.001888
11,2,1,11,3,1,k,0.001022
12,2,1,12,3,1,k,0.002527
13,2,1,13,3,1,k,0.001466
14,2,1,14,3,1,k,0.002242
0,2,1,0,3,1,k,0.509380
1,2,1,1,3,1,k,0.436136
2,2,1,2,3,1,k,0.005476
3,2,1,3,3,1,k,0.001593
4,2,1,4,3,1,k,0.001259
5,2,1,5,3,1,k,0.002368
6,2,1,6,3,1,k,0.002752
7,2,1,7,3,1,k,0.001692
8,2,1,8,3,1,k,0.001789
9,2,1,9,3,1,k,0.001171
10,2,1,10,3,1,k,0.002326
11,2,1,11,3,1,k,0.002581
12,2,1,12,3,1,k,0.001139
13,2,1,13,3,1,k,0.000928
14,2,1,14,3,1,k,0.001819
0,2,1,0,4,1,k,0.476082
1,2,1,1,4,1,k,0.405474
2,2,1,2,4,1,k,0.001454
3,2,1,3,4,1,k,0.002454
4,2,1,4,4,1,k,0.001729
5,2,1,5,4,1,k,0.001258
6,2,1,6,4,1,k,0.002119
7,2,1,7,4,1,k,0.003705
8,2,1,8,4,1,k,0.002947
9,2,1,9,4,1,k,0.002314
10,2,1,10,4,1,k,0.003527
11,2,1,11,4,1,k,0.001944
12,2,1,12,4,1,k,0.002788
13,2,1,13,4,1,k,0.000737
14,2,1,14,4,1,k,0.002668
0,2,1,0,4,1,k,0.463230
1,2,1,1,4,1,k,0.401009
2,2,1,2,4,1,k,0.007738
3,2,1,3,4,1,k,0.001737
4,2,1,4,4,1,k,0.001843
5,2,1,5,4,1,k,0.004021
6,2,1,6,4,1,k,0.001662
7,2,1,7,4,1,k,0.001712
8,2,1,8,4,1,k,0.002254
9,2,1,9,4,1,k,0.000918
10,2,1,10,4,1,k,0.003025
11,2,1,11,4,1,k,0.002596
12,2,1,12,4,1,k,0.003697
13,2,1,13,4,1,k,0.001050
14,2,1,14,4,1,k,0.001939
0,2,1,0,4,1,k,0.468152
1,2,1,1,4,1,k,0.413800
2,2,1,2,4,1,k,0.002971
3,2,1,3,4,1,k,0.001945
4,2,1,4,4,1,k,0.002276
5,2,1,5,4,1,k,0.001125
6,2,1,6,4,1,k,0.001963
7,2,1,7,4,1,k,0.001396
8,2,1,8,4,1,k,0.001181
9,2,1,9,4,1,k,0.000629
10,2,1,10,4,1,k,0.004915
11,2,1,11,4,1,k,0.001691
12,2,1,12,4,1,k,0.002610
13,2,1,13,4,1,k,0.001907
14,2,1,14,4,1,k,0.002030
0,2,1,0,5,1,k,0.503093
1,2,1,1,5,1,k,0.432768
2,2,1,2,5,1,k,0.001062
3,2,1,3,5,1,k,0.001806
4,2,1,4,5,1,k,0.003348
5,2,1,5,5,1,k,0.001402
6,2,1,6,5,1,k,0.001581
7,2,1,7,5,1,k,0.001708
8,2,1,8,5,1,k,0.002872
9,2,1,9,5,1,k,0.003123
10,2,1,10,5,1,k,0.001200
11,2,1,11,5,1,k,0.001752
12,2,1,12,5,1,k,0.001733
13,2,1,13,5,1,k,0.001415
14,2,1,14,5,1,k,0.001647
0,2,1,0,5,1,k,0.487205
1,2,1,1,5,1,k,0.411350
2,2,1,2,5,1,k,0.003584
3,2,1,3,5,1,k,0.002925
4,2,1,4,5,1,k,0.001971
5,2,1,5,5,1,k,0.001198
6,2,1,6,5,1,k,0.001824
7,2,1,7,5,1,k,0.002247
8,2,1,8,5,1,k,0.000881
9,2,1,9,5,1,k,0.001082
10,2,1,10,5,1,k,0.002358
11,2,1,11,5,1,k,0.002047
12,2,1,12,5,1,k,0.002145
13,2,1,13,5,1,k,0.002428
14,2,1,14,5,1,k,0.002525
0,2,1,0,5,1,k,0.485465
1,2,1,1,5,1,k,0.450114
2,2,1,2,5,1,k,0.001392
3,2,1,3,5,1,k,0.002368
4,2,1,4,5,1,k,0.003387
5,2,1,5,5,1,k,0.002341
6,2,1,6,5,1,k,0.003717
7,2,1,7,5,1,k,0.003083
8,2,1,8,5,1,k,0.005649
9,2,1,9,5,1,k,0.022106
10,2,1,10,5,1,k,0.002478
11,2,1,11,5,1,k,0.002811
12,2,1,12,5,1,k,0.001633
13,2,1,13,5,1,k,0.003534
14,2,1,14,5,1,k,0.003586
0,2,2,0,0,2,k,0.447209
1,2,2,1,0,2,k,0.390888
2,2,2,2,0,2,k,0.001146
3,2,2,3,0,2,k,0.001117
4,2,2,4,0,2,k,0.003066
5,2,2,5,0,2,k,0.001483
6,2,2,6,0,2,k,0.001719
7,2,2,7,0,2,k,0.003617
8,2,2,8,0,2,k,0.008323
9,2,2,9,0,2,k,0.000641
10,2,2,10,0,2,k,0.001478
11,2,2,11,0,2,k,0.003190
12,2,2,12,0,2,k,0.001518
13,2,2,13,0,2,k,0.001986
14,2,2,14,0,2,k,0.002412
0,2,2,0,0,2,k,0.473660
1,2,2,1,0,2,k,0.402151
2,2,2,2,0,2,k,0.001301
3,2,2,3,0,2,k,0.001151
4,2,2,4,0,2,k,0.001144
5,2,2,5,0,2,k,0.001153
6,2,2,6,0,2,k,0.001808
7,2,2,7,0,2,k,0.002479
8,2,2,8,0,2,k,0.001592
9,2,2,9,0,2,k,0.003140
10,2,2,10,0,2,k,0.001181
11,2,2,11,0,2,k,0.002949
12,2,2,12,0,2,k,0.003927
13,2,2,13,0,2,k,0.002092
14,2,2,14,0,2,k,0.002297
0,2,2,0,0,2,k,0.457430
1,2,2,1,0,2,k,0.410972
2,2,2,2,0,2,k,0.000825
3,2,2,3,0,2,k,0.003250
4,2,2,4,0,2,k,0.003000
5,2,2,5,0,2,k,0.001631
