sg,sr,sc,dg,dr,dc,color,bytes,job0,job1,job2,job3,job4,job5,job6,job7
1,2,11,1,2,0,g,93.946778,85.738657,0.002160,0.006806,0.231455,7.545679,0.002577,0.023573,0.395871
2,2,11,2,2,0,g,15.676916,3.736355,2.166720,0.004516,0.269204,9.018466,0.004787,0.077001,0.399867
3,2,11,3,2,0,g,30.412514,11.701143,2.165470,0.011039,0.744278,14.790395,0.015475,0.233603,0.751111
4,2,11,4,2,0,g,211.450199,10.018772,0.029835,0.011772,164.070034,10.320032,0.017193,26.494588,0.487973
5,2,11,5,2,0,g,116.048929,16.801079,0.008488,0.012115,7.234355,11.655944,0.026179,79.643071,0.667698
6,2,11,6,2,0,g,160.054139,15.740218,0.005779,0.013477,90.670058,10.566801,0.010885,42.490631,0.556291
7,2,11,7,2,0,g,193.719100,11.407709,0.004666,0.008922,83.588671,8.880559,0.032692,89.328344,0.467537
8,2,11,8,2,0,g,116.041886,12.100055,0.005311,0.009661,69.170274,11.099176,0.018319,20.739618,2.899471
9,2,11,9,2,0,g,197.913440,9.477119,0.004848,0.004903,0.968551,185.313699,0.015450,0.228770,1.900098
10,2,11,10,2,0,g,213.219476,15.210716,0.006748,0.006501,1.044523,196.281183,0.021751,0.350130,0.297924
11,2,11,11,2,0,g,148.873383,14.485263,0.007464,0.039785,1.600092,115.775568,0.026141,0.335726,16.603343
12,2,11,12,2,0,g,20.072572,12.642218,0.005046,2.069146,0.942751,3.810859,0.015811,0.322355,0.264385
13,2,11,13,2,0,g,75.786791,20.511156,0.006098,0.332083,1.390408,9.002987,0.028512,0.480427,44.035120
14,2,11,14,2,0,g,46.785501,20.173493,0.009267,0.023620,1.863602,18.631236,4.772300,0.300125,1.011857
15,2,11,15,2,0,g,64.863385,11.934999,0.081226,0.009157,1.263806,19.661525,1.988442,20.949638,8.974592
0,2,11,0,2,1,g,96.349185,88.804432,0.000549,0.005579,0.000000,7.044616,0.000470,0.020757,0.472781
1,2,11,1,2,1,g,51.035012,43.563364,0.010227,0.004682,0.000000,7.144061,0.000000,0.000000,0.312678
2,2,11,2,2,1,g,16.520085,3.960279,2.021314,0.005318,0.000000,10.086564,0.002000,0.047309,0.397302
3,2,11,3,2,1,g,26.121708,11.579863,2.152405,0.007175,0.000000,11.610239,0.007591,0.293175,0.471261
4,2,11,4,2,1,g,198.845471,11.189424,0.013903,0.006054,93.388975,9.980506,0.010260,83.884672,0.371677
5,2,11,5,2,1,g,107.797083,15.242875,0.006312,0.009188,7.346321,11.038682,0.010384,73.657178,0.486143
6,2,11,6,2,1,g,195.470464,14.219545,0.007461,0.007100,131.836592,11.072088,0.007942,37.871868,0.447867
7,2,11,7,2,1,g,232.217006,11.908445,0.005871,0.007208,203.534004,10.248568,0.713578,5.395150,0.404183
8,2,11,8,2,1,g,123.283468,12.786789,0.010540,0.007688,70.472029,11.644090,0.017758,0.321288,28.023286
9,2,11,9,2,1,g,143.363107,10.529769,0.008357,0.002764,0.000000,107.340581,0.005824,0.257964,25.217848
10,2,11,10,2,1,g,192.540629,13.628586,0.004010,0.001008,0.000000,176.084186,0.007768,0.381877,2.433194
11,2,11,11,2,1,g,154.919758,13.626865,0.009423,0.087484,0.000000,139.189155,0.011565,0.353854,1.641411
12,2,11,12,2,1,g,19.018722,13.341482,0.002712,2.030816,0.000000,1.477982,0.008696,0.331823,1.825210
13,2,11,13,2,1,g,56.305329,19.673921,0.010296,0.010885,0.000000,9.718611,0.013950,0.544396,26.333270
14,2,11,14,2,1,g,85.050703,18.647144,0.012088,0.032411,46.367010,15.338128,3.832814,0.395279,0.425829
15,2,11,15,2,1,g,58.639166,12.501409,0.057224,0.005617,0.890936,21.224134,2.507921,12.106919,9.345006
0,2,11,0,2,2,g,66.206179,58.576621,0.083229,0.234379,0.103120,6.528147,0.000000,0.038110,0.642573
1,2,11,1,2,2,g,81.269485,71.507313,0.039048,0.007868,0.133944,9.280920,0.000000,0.013212,0.287181
2,2,11,2,2,2,g,41.875790,31.650355,1.016377,0.008163,0.000000,8.736684,0.000000,0.000000,0.464210
